연도,아라비카_kg당(원),아라비카_한잔당(원),아라비카_등락률(%),로부스타_kg당(원),로부스타_한잔당(원),로부스타_등락률(%),가격비율
2016,3483.3790,34.8338,2.8200,2023.7940,20.2379,1.7500,1.7212
2017,3512.3269,35.1233,-2.3900,2302.7140,23.0271,16.8000,1.5253
2018,2731.8549,27.3185,-15.2800,1863.0150,18.6302,-16.8900,1.4664
2019,2612.0448,26.1204,-9.7200,1634.5765,16.3458,-17.1600,1.5980
2020,2857.4987,28.5750,9.5200,1526.1766,15.2618,-7.8200,1.8723
2021,4259.7225,42.5972,51.3200,2032.5448,20.3254,37.3700,2.0958
2022,6108.3274,61.0833,27.2400,2718.6264,27.1863,18.4300,2.2468
2023,5036.8698,50.3687,-19.5900,3302.8865,33.0289,18.4700,1.5250
2024,6963.2041,69.6320,35.6800,5627.4210,56.2742,67.2200,1.2374
2025,11448.0185,114.4802,53.0700,7053.9745,70.5397,16.7100,1.6229
