지역,2020년,2021년,2022년,2023년,2024년,지역(추출)
고양시청,67.6,71.49,97.94,101.82,102.95,안양
광명,141.96,140.61,140.36,141.98,143.05,안양
광주시가지,90.22,89.53,96.64,97.05,98.88,용인
구리역,99.28,102.23,101.41,100.7,100.23,안양
기흥역,105.05,105.05,105.05,103.91,102.53,용인
김량장동,115.19,113.54,109.86,109.72,110.26,용인
단대오거리역,135.38,135.38,135.38,135.84,136.42,안양
동두천중앙로,73.91,74,68.58,67.42,66.33,안양
모란,152.45,146.64,153.99,155.83,161.65,안양
병점역,83.27,81.94,84.26,86.37,87.31,화성
부천역,100.34,103.96,106.29,105.81,106.58,부천
분당,148.98,149.98,153.96,154.65,159.39,수원
성남구시가지,112.06,109.31,118.29,117.59,118.8,수원
수원역,179.79,183.2,188.01,185.47,188.97,수원
신장/지산/서정,72.45,74.25,70.22,70.03,71.39,수원
신천역,77.73,77.73,77.73,77.33,77.21,안산
아주대삼거리,118.45,118.45,118.45,118.75,117.69,수원
안성시장,43.69,43.63,45.4,45.33,22.69,화성
안양역,173.31,159.88,162.94,160.68,157.76,안양
여주군청,47.79,43.43,43.97,43.4,43.07,용인
영통역,105.88,105.88,105.88,103.35,102.89,수원
오산시청,65.4,63.32,64.97,68.5,71.38,화성
용인수지,122.46,121.78,119.84,120.92,122.87,용인
의정부역,167.41,162.77,159.14,158.03,158.25,안양
이천종합터미널,81.03,72.59,70.46,70.38,69.12,용인
인계동,102.08,99.36,97.77,97.92,99.69,수원
인덕원,111.77,111.77,106.23,106.59,116.63,안양
탄현역,112.43,110.46,115.54,121.84,115.17,안양
파주시청,102.81,101.16,102.79,101.87,100.29,안양
팔달문로터리,172.2,141.72,137.51,136.86,133.97,수원
평택역,139.77,139.53,137.57,137.12,137.45,화성
포천시외버스터미널,65.08,66.55,60.73,60.19,59.29,안양
하남원도심,127.7,130.63,142.28,141.4,142.62,안산
