시군명,년도,구분,운영점포수,연초점포수,신규개업,개업률(%),폐업건수,폐업률(%),누적폐업
화성시,2016,개인,705,559,146,26.1,93,13.2,93
화성시,2016,프랜차이즈,135,88,47,53.4,13,9.6,13
화성시,2016,통합,840,647,193,29.8,106,12.6,106
화성시,2017,개인,746,612,134,21.9,90,12.1,183
화성시,2017,프랜차이즈,147,122,25,20.5,10,6.8,23
화성시,2017,통합,893,734,159,21.7,100,11.2,206
화성시,2018,개인,862,656,206,31.4,138,16.0,321
화성시,2018,프랜차이즈,179,137,42,30.7,17,9.5,40
화성시,2018,통합,1041,793,248,31.3,155,14.9,361
화성시,2019,개인,933,724,209,28.9,120,12.9,441
화성시,2019,프랜차이즈,213,162,51,31.5,9,4.2,49
화성시,2019,통합,1146,886,260,29.3,129,11.3,490
화성시,2020,개인,1035,813,222,27.3,110,10.6,551
화성시,2020,프랜차이즈,248,204,44,21.6,16,6.5,65
화성시,2020,통합,1283,1017,266,26.2,126,9.8,616
화성시,2021,개인,1171,925,246,26.6,137,11.7,688
화성시,2021,프랜차이즈,292,232,60,25.9,22,7.5,87
화성시,2021,통합,1463,1157,306,26.4,159,10.9,775
화성시,2022,개인,1212,1034,178,17.2,156,12.9,844
화성시,2022,프랜차이즈,324,270,54,20.0,20,6.2,107
화성시,2022,통합,1536,1304,232,17.8,176,11.5,951
화성시,2023,개인,1252,1056,196,18.6,191,15.3,1035
화성시,2023,프랜차이즈,358,304,54,17.8,30,8.4,137
화성시,2023,통합,1610,1360,250,18.4,221,13.7,1172
화성시,2024,개인,1218,1061,157,14.8,215,17.7,1250
화성시,2024,프랜차이즈,389,328,61,18.6,23,5.9,160
화성시,2024,통합,1607,1389,218,15.7,238,14.8,1410
화성시,2025,개인,1092,1003,89,8.9,92,8.4,1342
화성시,2025,프랜차이즈,408,366,42,11.5,9,2.2,169
화성시,2025,통합,1500,1369,131,9.6,101,6.7,1511
부천시,2016,개인,810,638,172,27.0,73,9.0,73
부천시,2016,프랜차이즈,158,126,32,25.4,11,7.0,11
부천시,2016,통합,968,764,204,26.7,84,8.7,84
부천시,2017,개인,874,737,137,18.6,118,13.5,191
부천시,2017,프랜차이즈,179,147,32,21.8,10,5.6,21
부천시,2017,통합,1053,884,169,19.1,128,12.2,212
부천시,2018,개인,925,756,169,22.4,137,14.8,328
부천시,2018,프랜차이즈,190,169,21,12.4,14,7.4,35
부천시,2018,통합,1115,925,190,20.5,151,13.5,363
부천시,2019,개인,971,788,183,23.2,141,14.5,469
부천시,2019,프랜차이즈,222,176,46,26.1,14,6.3,49
부천시,2019,통합,1193,964,229,23.8,155,13.0,518
부천시,2020,개인,980,830,150,18.1,131,13.4,600
부천시,2020,프랜차이즈,252,208,44,21.2,8,3.2,57
부천시,2020,통합,1232,1038,194,18.7,139,11.3,657
부천시,2021,개인,1017,849,168,19.8,148,14.6,748
부천시,2021,프랜차이즈,291,244,47,19.3,19,6.5,76
부천시,2021,통합,1308,1093,215,19.7,167,12.8,824
부천시,2022,개인,1028,869,159,18.3,140,13.6,888
부천시,2022,프랜차이즈,315,272,43,15.8,19,6.0,95
부천시,2022,통합,1343,1141,202,17.7,159,11.8,983
부천시,2023,개인,1023,888,135,15.2,199,19.5,1087
부천시,2023,프랜차이즈,333,296,37,12.5,25,7.5,120
부천시,2023,통합,1356,1184,172,14.5,224,16.5,1207
부천시,2024,개인,885,824,61,7.4,178,20.1,1265
부천시,2024,프랜차이즈,329,308,21,6.8,18,5.5,138
부천시,2024,통합,1214,1132,82,7.2,196,16.1,1403
부천시,2025,개인,749,707,42,5.9,66,8.8,1331
부천시,2025,프랜차이즈,337,311,26,8.4,9,2.7,147
부천시,2025,통합,1086,1018,68,6.7,75,6.9,1478
안산시,2016,개인,656,579,77,13.3,79,12.0,79
안산시,2016,프랜차이즈,110,100,10,10.0,5,4.5,5
안산시,2016,통합,766,679,87,12.8,84,11.0,84
안산시,2017,개인,674,577,97,16.8,58,8.6,137
안산시,2017,프랜차이즈,118,105,13,12.4,6,5.1,11
안산시,2017,통합,792,682,110,16.1,64,8.1,148
안산시,2018,개인,722,616,106,17.2,84,11.6,221
안산시,2018,프랜차이즈,125,112,13,11.6,5,4.0,16
안산시,2018,통합,847,728,119,16.3,89,10.5,237
안산시,2019,개인,738,638,100,15.7,62,8.4,283
안산시,2019,프랜차이즈,137,120,17,14.2,11,8.0,27
안산시,2019,통합,875,758,117,15.4,73,8.3,310
안산시,2020,개인,819,676,143,21.2,110,13.4,393
안산시,2020,프랜차이즈,168,126,42,33.3,7,4.2,34
안산시,2020,통합,987,802,185,23.1,117,11.9,427
안산시,2021,개인,853,709,144,20.3,97,11.4,490
안산시,2021,프랜차이즈,206,161,45,28.0,14,6.8,48
안산시,2021,통합,1059,870,189,21.7,111,10.5,538
안산시,2022,개인,854,756,98,13.0,116,13.6,606
안산시,2022,프랜차이즈,231,192,39,20.3,8,3.5,56
안산시,2022,통합,1085,948,137,14.5,124,11.4,662
안산시,2023,개인,815,738,77,10.4,117,14.4,723
안산시,2023,프랜차이즈,258,223,35,15.7,20,7.8,76
안산시,2023,통합,1073,961,112,11.7,137,12.8,799
안산시,2024,개인,765,698,67,9.6,103,13.5,826
안산시,2024,프랜차이즈,262,238,24,10.1,12,4.6,88
안산시,2024,통합,1027,936,91,9.7,115,11.2,914
안산시,2025,개인,699,662,37,5.6,41,5.9,867
안산시,2025,프랜차이즈,259,250,9,3.6,11,4.2,99
안산시,2025,통합,958,912,46,5.0,52,5.4,966
용인시,2016,개인,992,833,159,19.1,140,14.1,140
용인시,2016,프랜차이즈,167,132,35,26.5,22,13.2,22
용인시,2016,통합,1159,965,194,20.1,162,14.0,162
용인시,2017,개인,1018,852,166,19.5,135,13.3,275
용인시,2017,프랜차이즈,176,145,31,21.4,12,6.8,34
용인시,2017,통합,1194,997,197,19.8,147,12.3,309
용인시,2018,개인,1107,883,224,25.4,144,13.0,419
용인시,2018,프랜차이즈,218,164,54,32.9,31,14.2,65
용인시,2018,통합,1325,1047,278,26.6,175,13.2,484
용인시,2019,개인,1218,963,255,26.5,153,12.6,572
용인시,2019,프랜차이즈,242,187,55,29.4,18,7.4,83
용인시,2019,통합,1460,1150,310,27.0,171,11.7,655
용인시,2020,개인,1270,1065,205,19.2,160,12.6,732
용인시,2020,프랜차이즈,276,224,52,23.2,11,4.0,94
용인시,2020,통합,1546,1289,257,19.9,171,11.1,826
용인시,2021,개인,1303,1110,193,17.4,147,11.3,879
용인시,2021,프랜차이즈,309,265,44,16.6,18,5.8,112
용인시,2021,통합,1612,1375,237,17.2,165,10.2,991
용인시,2022,개인,1335,1156,179,15.5,173,13.0,1052
용인시,2022,프랜차이즈,325,291,34,11.7,23,7.1,135
용인시,2022,통합,1660,1447,213,14.7,196,11.8,1187
용인시,2023,개인,1273,1162,111,9.6,184,14.5,1236
용인시,2023,프랜차이즈,340,302,38,12.6,33,9.7,168
용인시,2023,통합,1613,1464,149,10.2,217,13.5,1404
용인시,2024,개인,1218,1089,129,11.8,187,15.4,1423
용인시,2024,프랜차이즈,343,307,36,11.7,24,7.0,192
용인시,2024,통합,1561,1396,165,11.8,211,13.5,1615
용인시,2025,개인,1092,1031,61,5.9,71,6.5,1494
용인시,2025,프랜차이즈,344,319,25,7.8,5,1.5,197
용인시,2025,통합,1436,1350,86,6.4,76,5.3,1691
수원시,2016,개인,1236,1027,209,20.4,162,13.1,162
수원시,2016,프랜차이즈,221,176,45,25.6,10,4.5,10
수원시,2016,통합,1457,1203,254,21.1,172,11.8,172
수원시,2017,개인,1288,1074,214,19.9,174,13.5,336
수원시,2017,프랜차이즈,240,211,29,13.7,22,9.2,32
수원시,2017,통합,1528,1285,243,18.9,196,12.8,368
수원시,2018,개인,1370,1114,256,23.0,178,13.0,514
수원시,2018,프랜차이즈,269,218,51,23.4,25,9.3,57
수원시,2018,통합,1639,1332,307,23.0,203,12.4,571
수원시,2019,개인,1449,1192,257,21.6,179,12.4,693
수원시,2019,프랜차이즈,273,244,29,11.9,14,5.1,71
수원시,2019,통합,1722,1436,286,19.9,193,11.2,764
수원시,2020,개인,1529,1270,259,20.4,210,13.7,903
수원시,2020,프랜차이즈,326,259,67,25.9,12,3.7,83
수원시,2020,통합,1855,1529,326,21.3,222,12.0,986
수원시,2021,개인,1600,1319,281,21.3,180,11.2,1083
수원시,2021,프랜차이즈,374,314,60,19.1,20,5.3,103
수원시,2021,통합,1974,1633,341,20.9,200,10.1,1186
수원시,2022,개인,1689,1420,269,18.9,242,14.3,1325
수원시,2022,프랜차이즈,415,354,61,17.2,33,8.0,136
수원시,2022,통합,2104,1774,330,18.6,275,13.1,1461
수원시,2023,개인,1600,1447,153,10.6,276,17.2,1601
수원시,2023,프랜차이즈,435,382,53,13.9,39,9.0,175
수원시,2023,통합,2035,1829,206,11.3,315,15.5,1776
수원시,2024,개인,1465,1324,141,10.6,262,17.9,1863
수원시,2024,프랜차이즈,445,396,49,12.4,27,6.1,202
수원시,2024,통합,1910,1720,190,11.0,289,15.1,2065
수원시,2025,개인,1286,1203,83,6.9,106,8.2,1969
수원시,2025,프랜차이즈,444,418,26,6.2,17,3.8,219
수원시,2025,통합,1730,1621,109,6.7,123,7.1,2188
안양시,2016,개인,727,618,109,17.6,83,11.4,83
안양시,2016,프랜차이즈,124,105,19,18.1,8,6.5,8
안양시,2016,통합,851,723,128,17.7,91,10.7,91
안양시,2017,개인,715,644,71,11.0,122,17.1,205
안양시,2017,프랜차이즈,131,116,15,12.9,12,9.2,20
안양시,2017,통합,846,760,86,11.3,134,15.8,225
안양시,2018,개인,678,593,85,14.3,65,9.6,270
안양시,2018,프랜차이즈,135,119,16,13.4,6,4.4,26
안양시,2018,통합,813,712,101,14.2,71,8.7,296
안양시,2019,개인,716,613,103,16.8,80,11.2,350
안양시,2019,프랜차이즈,148,129,19,14.7,6,4.1,32
안양시,2019,통합,864,742,122,16.4,86,10.0,382
안양시,2020,개인,738,636,102,16.0,93,12.6,443
안양시,2020,프랜차이즈,162,142,20,14.1,13,8.0,45
안양시,2020,통합,900,778,122,15.7,106,11.8,488
안양시,2021,개인,779,645,134,20.8,62,8.0,505
안양시,2021,프랜차이즈,176,149,27,18.1,11,6.2,56
안양시,2021,통합,955,794,161,20.3,73,7.6,561
안양시,2022,개인,813,717,96,13.4,91,11.2,596
안양시,2022,프랜차이즈,196,165,31,18.8,13,6.6,69
안양시,2022,통합,1009,882,127,14.4,104,10.3,665
안양시,2023,개인,812,722,90,12.5,115,14.2,711
안양시,2023,프랜차이즈,211,183,28,15.3,9,4.3,78
안양시,2023,통합,1023,905,118,13.0,124,12.1,789
안양시,2024,개인,768,697,71,10.2,110,14.3,821
안양시,2024,프랜차이즈,238,202,36,17.8,11,4.6,89
안양시,2024,통합,1006,899,107,11.9,121,12.0,910
안양시,2025,개인,687,658,29,4.4,48,7.0,869
안양시,2025,프랜차이즈,245,227,18,7.9,8,3.3,97
안양시,2025,통합,932,885,47,5.3,56,6.0,966
